"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","CellDivision","CellDivision","Location","Location","Location"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Yes","No","S1","S0","S2"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(µm)","","","","","","",""
"60","60","","2","77","477.400959078205","239.78688586539877","39.236960270122054","19.151550741292226","1679.9672189880998","1110.6388543824098","241.13063753133568","5.131581182307067","42","110","0","1","1","0","0"
"61","61","","2","76","527.8318680425214","256.50242134863123","35.212706813251366","20.65819378395761","1677.672619979275","1108.9941928320213","240.54929713044103","5.131581182307067","42","110","0","1","1","0","0"
"63","63","","2","85","297.57208237473446","266.7269062727503","26.22416670233195","26.982459893653218","1570.0967748690632","1117.0038938507644","228.9491040361239","5.131581182307067","40","110","0","1","1","0","0"
"64","64","","1","109","220.21024369840018","225.62781533124192","18.273314990227757","15.848771621113908","1644.648515202681","1122.4968748279784","269.8323647746336","4.892770681006453","2","110","0","1","1","0","0"
"65","65","","2","75","509.50733239493485","241.29928158247594","44.77813518089921","18.75220603401777","1682.8674317022258","1109.4666818298638","241.79401795194806","5.131581182307067","42","110","0","1","1","0","0"
"66","66","","1","109","159.2215606876286","205.35954855575358","12.115671967740276","13.50271175693032","1669.6701439328199","1154.6335264429429","262.6288568569897","4.892770681006453","28","110","0","1","1","0","0"
"67","67","","1","109","204.7969234551633","222.76209645624797","14.94485333046639","16.137942434836827","1591.1780920338676","1082.906887246422","222.28749893714826","4.665073802097333","33","211","1","0","1","0","0"
"68","68","","1","109","212.31866784789725","218.21313395157068","15.175012039835998","16.317455246037753","1622.851664393716","1103.8002888648346","233.28887344968913","4.665073802097334","19","110","0","1","1","0","0"
"69","69","","1","109","196.38175295134747","213.1968524970512","15.334990213004769","16.867498926536015","1647.9727020539383","1108.0654488811592","237.18762734810664","4.665073802097334","34","110","0","1","1","0","0"
"70","70","","2","44","578.54052073322","272.06331643261706","38.073051206658214","18.91727094717333","1668.7531493472375","1029.323841777696","243.234319971377","4.665073802097334","34","110","0","1","1","0","0"
"71","71","","2","26","270.46441712657634","320.93084486367036","21.135672872225864","30.697946015305618","1556.9095044734486","1098.9793134789777","247.6149760290029","5.131581182307067","40","110","0","1","1","0","0"
"72","72","","1","109","212.57291724056117","185.8893475089087","18.690994561700418","14.680367393130267","1677.918271632463","1109.0065996896967","266.07963060912317","4.665073802097334","45","110","0","1","1","0","0"
"73","73","","1","0","419.1565646597013","535.7766296158742","30.217806379225717","51.44263279050786","1667.000402959067","1022.2426383645744","246.25033872847678","4.665073802097334","34","110","0","1","1","0","0"
"74","74","","1","109","240.87516965939977","232.72038630401818","22.7961356384499","20.014026792780143","1645.0765185860448","1103.458057088025","159.66138156197064","5.131581182307065","14","110","0","1","1","0","0"
"76","76","","1","109","188.03416619014746","202.99716123043703","15.434193641165166","15.929314752171171","1672.815360307464","1105.0361130510057","193.20168285412973","5.131581182307065","8","110","0","1","1","0","0"
"77","77","","1","109","163.08822994011646","216.19954121505438","11.869687948363149","14.668659141457915","1638.595728927166","1165.8505449055722","183.083904736141","4.8927706810064535","49","110","0","1","1","0","0"
"78","78","","1","109","157.4499827153426","232.00017998125327","11.5157133364659","17.816425044171925","1606.0842008153707","1167.663291552839","199.75397548855472","4.665073802097332","43","141","1","0","1","0","0"
"79","79","","1","109","159.5384354130993","210.31683217670766","12.412213180754728","18.963212459726932","1568.2391239812612","1121.6452656758322","191.8977750212605","5.131581182307066","32","110","0","1","1","0","0"
"80","80","","1","109","154.79795326797435","197.88459855426433","10.991936254273444","13.03521327831555","1590.2782826609075","1122.046464746357","148.4107980330093","5.131581182307065","47","110","0","1","1","0","0"
"81","81","","2","106","173.9544888531732","228.36657582499546","13.865567426511692","19.272469685893405","1597.3963608407535","1121.2474619200373","166.77339284815775","5.131581182307065","20","186","1","0","1","0","0"
